¤é´Á,Mkt-RF,SMB,HML,RMW,CMA,RF
2010/1/1,-3.36,0.34,0.43,-1.27,0.46,0
2010/2/1,3.4,1.51,3.23,-0.27,1.43,0
2010/3/1,6.31,1.85,2.21,-0.65,1.69,0.01
2010/4/1,2,4.98,2.89,0.69,1.72,0.01
2010/5/1,-7.89,0.04,-2.44,1.3,-0.21,0.01
2010/6/1,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
2010/7/1,6.93,0.12,-0.31,0.24,2.01,0.01
2010/8/1,-4.77,-3.15,-1.9,0.53,-1.59,0.01
2010/9/1,9.54,3.75,-3.16,-0.21,0.38,0.01
2010/10/1,3.88,0.8,-2.43,1.19,-0.26,0.01
2010/11/1,0.6,3.67,-0.96,0.45,1.59,0.01
2010/12/1,6.82,1.03,3.7,-3.44,3.16,0.01
2011/1/1,1.99,-2.43,0.83,-0.76,0.83,0.01
2011/2/1,3.49,1.65,1.27,-1.94,0.88,0.01
2011/3/1,0.46,2.62,-1.83,1.76,-0.03,0.01
2011/4/1,2.9,-0.55,-2.43,1.01,-0.8,0
2011/5/1,-1.27,-0.63,-2.12,2.08,-1.59,0
2011/6/1,-1.75,0.16,-0.42,2.49,-1.53,0
2011/7/1,-2.35,-1.2,-0.9,2.68,-1.81,0
2011/8/1,-5.99,-3.2,-2.36,3.3,-0.38,0.01
2011/9/1,-7.59,-3.66,-1.72,2.04,0.24,0
2011/10/1,11.35,3.46,0.1,-2.16,-0.86,0
2011/11/1,-0.28,-0.28,-0.46,1.86,1.49,0
2011/12/1,0.74,-0.33,1.63,0.98,2.52,0
2012/1/1,5.05,2.06,-0.97,-2.01,-1.43,0
2012/2/1,4.42,-1.71,0.43,-0.48,-0.01,0
2012/3/1,3.11,-0.47,1.14,-0.54,0.74,0
2012/4/1,-0.85,-0.55,-0.78,1.3,0.65,0
2012/5/1,-6.19,-0.12,-1.07,2.08,2.31,0.01
2012/6/1,3.89,0.84,0.62,-1.09,0.46,0
2012/7/1,0.79,-2.78,-0.02,1.1,0.05,0
2012/8/1,2.55,0.44,1.3,-1.33,-0.84,0.01
2012/9/1,2.73,0.61,1.6,-1.49,1.55,0.01
2012/10/1,-1.76,-0.89,3.59,-1.34,2.5,0.01
2012/11/1,0.78,0.46,-0.84,0.6,0.84,0.01
2012/12/1,1.18,1.89,3.51,-1.85,0.91,0.01
2013/1/1,5.57,0.48,0.96,-1.93,1.41,0
2013/2/1,1.29,-0.25,0.11,-0.67,0.52,0
2013/3/1,4.03,0.85,-0.19,0.14,1.38,0
2013/4/1,1.55,-2.25,0.45,0.27,0.37,0
2013/5/1,2.8,2.06,2.63,-1.97,-0.87,0
2013/6/1,-1.2,1.57,0.03,-0.38,0,0
2013/7/1,5.65,1.81,0.57,-1.35,0.51,0
2013/8/1,-2.71,-0.06,-2.69,0.66,-2.16,0
2013/9/1,3.77,2.63,-1.22,-0.58,-1.36,0
2013/10/1,4.18,-1.48,1.25,2.78,0.87,0
2013/11/1,3.13,1.41,0.32,0.14,0.04,0
2013/12/1,2.81,-0.45,-0.02,-0.46,0.09,0
2014/1/1,-3.32,0.58,-2.07,-3.88,-1.42,0
2014/2/1,4.65,0.14,-0.31,-0.23,-0.45,0
2014/3/1,0.43,-1.09,4.93,2.13,1.92,0
2014/4/1,-0.19,-4.12,1.17,3.48,1.02,0
2014/5/1,2.06,-1.89,-0.13,0.05,-1,0
2014/6/1,2.61,3.11,-0.7,-1.89,-2,0
2014/7/1,-2.04,-4.29,0.03,0.89,0.52,0
2014/8/1,4.24,0.31,-0.45,-0.64,-0.7,0
2014/9/1,-1.97,-3.72,-1.34,1.3,-0.51,0
2014/10/1,2.52,3.73,-1.81,-0.57,-0.11,0
2014/11/1,2.55,-2.28,-3.09,1.5,0.27,0
2014/12/1,-0.06,2.86,2.27,-1.22,0.96,0
2015/1/1,-3.11,-0.92,-3.58,1.61,-1.65,0
2015/2/1,6.13,0.32,-1.86,-1.12,-1.82,0
2015/3/1,-1.12,3.07,-0.37,0.09,-0.52,0
2015/4/1,0.59,-3.09,1.82,0.06,-0.61,0
2015/5/1,1.36,0.83,-1.14,-1.79,-0.74,0
2015/6/1,-1.53,2.9,-0.79,0.44,-1.58,0
2015/7/1,1.54,-4.55,-4.13,0.3,-2.41,0
2015/8/1,-6.04,0.25,2.77,0.68,1.19,0
2015/9/1,-3.07,-2.79,0.56,1.77,-0.58,0
2015/10/1,7.75,-2.07,-0.46,0.88,0.52,0
2015/11/1,0.56,3.31,-0.42,-2.75,-0.99,0
2015/12/1,-2.17,-2.99,-2.61,0.5,-0.02,0.01
2016/1/1,-5.77,-3.47,2.09,2.82,3.08,0.01
2016/2/1,-0.07,0.88,-0.57,3.25,2.02,0.02
2016/3/1,6.96,1.07,1.19,0.77,-0.08,0.02
2016/4/1,0.91,1.23,3.28,-2.97,1.9,0.01
2016/5/1,1.78,-0.61,-1.66,-1.09,-2.48,0.01
2016/6/1,-0.05,0.45,-1.48,1.4,1.94,0.02
2016/7/1,3.95,2.48,-1.32,1.26,-1.18,0.02
2016/8/1,0.49,1.68,3.18,-1.85,-0.34,0.02
2016/9/1,0.25,1.85,-1.24,-2.21,0.03,0.02
2016/10/1,-2.02,-4.02,4.09,0.93,0.28,0.02
2016/11/1,4.86,7.07,8.21,-0.18,3.7,0.01
2016/12/1,1.81,0.41,3.53,1.22,-0.23,0.03
2017/1/1,1.94,-1.46,-2.75,-0.49,-0.99,0.04
2017/2/1,3.57,-2.22,-1.67,0.47,-1.83,0.04
2017/3/1,0.17,0.74,-3.35,0.61,-0.94,0.03
2017/4/1,1.09,0.48,-2.13,1.9,-1.6,0.05
2017/5/1,1.06,-3.06,-3.78,0.95,-1.79,0.06
2017/6/1,0.78,2.58,1.48,-2.22,0,0.06
2017/7/1,1.87,-1.69,-0.31,-0.64,-0.2,0.07
2017/8/1,0.16,-1.82,-2.09,0.14,-2.38,0.09
2017/9/1,2.51,4.78,3.14,-1.47,1.69,0.09
2017/10/1,2.25,-1.94,0.2,0.93,-3.25,0.09
2017/11/1,3.12,-0.33,-0.03,3.16,-0.05,0.08
2017/12/1,1.06,-1.07,0.06,0.74,1.69,0.09
2018/1/1,5.57,-3.18,-1.29,-0.76,-0.96,0.12
2018/2/1,-3.65,0.32,-1.04,0.52,-2.37,0.11
2018/3/1,-2.35,3.59,-0.21,-0.46,0.01,0.11
2018/4/1,0.28,0.93,0.54,-2.42,1.3,0.14
2018/5/1,2.65,4.73,-3.2,-2.04,-1.5,0.14
2018/6/1,0.48,0.8,-2.34,0.79,0.24,0.14
2018/7/1,3.19,-1.93,0.47,1.56,0.35,0.16
2018/8/1,3.44,0.64,-3.94,-0.31,-2.7,0.16
2018/9/1,0.06,-2.48,-1.7,0.63,1.29,0.15
2018/10/1,-7.68,-4.46,3.4,0.94,3.59,0.19
2018/11/1,1.69,-0.77,0.3,-0.55,0.39,0.18
2018/12/1,-9.57,-2.88,-1.84,-0.02,0.21,0.2
2019/1/1,8.4,3.03,-0.46,-0.8,-1.51,0.21
2019/2/1,3.4,1.74,-2.67,0.12,-1.59,0.18
2019/3/1,1.1,-3.51,-4.17,0.9,-0.95,0.19
2019/4/1,3.97,-1.17,2.15,1.61,-2.22,0.21
2019/5/1,-6.94,-1.59,-2.37,-0.46,1.77,0.21
2019/6/1,6.93,0.37,-0.71,0.9,-0.44,0.18
2019/7/1,1.19,-1.78,0.48,-0.08,0.36,0.19
2019/8/1,-2.58,-3.24,-4.78,0.56,-0.68,0.16
2019/9/1,1.43,0.27,6.75,1.84,3.37,0.18
2019/10/1,2.06,0.26,-1.91,0.44,-0.96,0.16
2019/11/1,3.87,0.44,-2.02,-1.59,-1.24,0.12
2019/12/1,2.77,0.97,1.75,0.01,1.24,0.14
2020/1/1,-0.11,-4.38,-6.25,-1.17,-2.32,0.13
2020/2/1,-8.13,0.04,-3.81,-1.47,-2.51,0.12
2020/3/1,-13.39,-8.28,-13.87,-1.57,1.24,0.13
2020/4/1,13.65,2.56,-1.33,2.72,-1,0
2020/5/1,5.58,1.97,-4.88,0.95,-3.26,0.01
2020/6/1,2.46,1.96,-2.2,0.09,0.54,0.01
2020/7/1,5.77,-3.2,-1.41,0.41,1.02,0.01
2020/8/1,7.63,-0.89,-2.97,4.28,-1.19,0.01
2020/9/1,-3.63,0.01,-2.71,-1.36,-1.85,0.01
2020/10/1,-2.1,4.64,4.25,-0.83,-0.78,0.01
2020/11/1,12.47,7.11,2.09,-2.2,1.4,0.01
2020/12/1,4.63,4.79,-1.51,-1.96,-0.12,0.01
2021/1/1,-0.03,6.94,3.01,-3.78,4.94,0.01
2021/2/1,2.78,4.54,7.15,0.39,-1.94,0
2021/3/1,3.08,-0.88,7.39,6.36,3.42,0
2021/4/1,4.93,-3.16,-0.95,2.44,-2.7,0
2021/5/1,0.29,1.22,7.09,2.45,3.04,0
2021/6/1,2.75,-0.34,-7.87,-2.14,-0.94,0
2021/7/1,1.27,-4.61,-1.78,5.46,-0.52,0
2021/8/1,2.91,-0.68,-0.15,-0.28,-1.79,0
2021/9/1,-4.37,1.12,5.08,-1.96,2.1,0
2021/10/1,6.65,-2.7,-0.49,1.66,-1.45,0
2021/11/1,-1.55,-1.77,-0.45,7.2,1.73,0
2021/12/1,3.1,-0.8,3.26,4.91,4.4,0.01
2022/1/1,-6.25,-4.06,12.75,0.84,7.72,0
2022/2/1,-2.29,2.92,3.08,-2.09,3.12,0
2022/3/1,3.05,-2.17,-1.81,-1.53,3.14,0.01
2022/4/1,-9.46,-0.39,6.17,3.52,5.89,0.01
2022/5/1,-0.34,-0.06,8.39,1.56,3.97,0.03
2022/6/1,-8.43,1.3,-5.97,1.81,-4.69,0.06
2022/7/1,9.57,1.82,-4.05,0.82,-6.83,0.08
2022/8/1,-3.77,1.52,0.29,-4.75,1.29,0.19
2022/9/1,-9.35,-1.05,0.05,-1.51,-0.8,0.19
2022/10/1,7.83,1.89,8.01,3.34,6.64,0.23
2022/11/1,4.6,-2.74,1.38,6.38,3.18,0.29
2022/12/1,-6.41,-0.15,1.37,0.25,4.2,0.33
