n,accuracy,f1 score
10.0,0.7610619469026548,0.763157894736842
20.0,0.7876106194690266,0.7913043478260869
30.0,0.7787610619469026,0.782608695652174
40.0,0.7743362831858407,0.777292576419214
50.0,0.7699115044247787,0.7739130434782607
60.0,0.7699115044247787,0.7758620689655173
70.0,0.7787610619469026,0.782608695652174
80.0,0.7743362831858407,0.7792207792207791
90.0,0.7743362831858407,0.7792207792207791
100.0,0.7787610619469026,0.782608695652174
110.0,0.7831858407079646,0.787878787878788
120.0,0.7743362831858407,0.7811158798283261
130.0,0.7831858407079646,0.787878787878788
140.0,0.7787610619469026,0.7844827586206896
150.0,0.7743362831858407,0.7811158798283261
160.0,0.7743362831858407,0.7811158798283261
170.0,0.7831858407079646,0.787878787878788
180.0,0.7787610619469026,0.7844827586206896
190.0,0.7831858407079646,0.787878787878788
200.0,0.7743362831858407,0.7792207792207791
